GRUPO OBJETAL;DESCRIPCION;VALOR EN RD;AÑO
2.5.2;TRANSFERENCIAS DE CAPITAL AL GOBIERNO GENERAL  NACIONAL;0;2026
2.5.3;TRANSFERENCIAS DE CAPITAL A GOBIERNOS GENERALES LOCALES;0;2026
2.5.4;TRANSFERENCIAS DE CAPITAL  A EMPRESAS PÚBLICAS NO FINANCIERAS;0;2026
2.5.6;TRANSFERENCIAS DE CAPITAL AL SECTOR EXTERNO;0;2026
2.5.9;TRANSFERENCIAS DE CAPITAL A OTRAS INSTITUCIONES PÚBLICAS;0;2026
2.6; BIENES MUEBLES, INMUEBLES E INTANGIBLES;0;2026
2.6.1;MOBILIARIO Y EQUIPO;0;2026
2.6.2;MOBILIARIO Y EQUIPO AUDIOVISUAL, RECREATIVO Y EDUCACIONAL;0;2026
2.6.3;EQUIPO E INSTRUMENTAL, CIENTÍFICO Y LABORATORIO;0;2026
2.6.4;VEHÍCULOS Y EQUIPO DE TRANSPORTE, TRACCIÓN Y ELEVACIÓN;0;2026
2.6.5;MAQUINARIA, OTROS EQUIPOS Y HERRAMIENTAS;0;2026
2.6.6;EQUIPOS DE DEFENSA Y SEGURIDAD;0;2026
2.6.7;ACTIVOS BIOLÓGICOS;0;2026
2.6.8;BIENES INTANGIBLES;0;2026
2.6.9;EDIFICIOS, ESTRUCTURAS, TIERRAS, TERRENOS Y OBJETOS DE VALOR;0;2026
